City,State,Demand_Orders,Category
Hyderabad,Telangana,36000,Pharma & Cold-Chain
Ahmedabad,Gujarat,31000,Pharma & Cold-Chain
Mumbai,Maharashtra,42000,Pharma & Cold-Chain
Baddi,Himachal Pradesh,18000,Pharma & Cold-Chain
Sikkim,Sikkim,12000,Pharma & Cold-Chain
Bengaluru,Karnataka,29000,Pharma & Cold-Chain
Chennai,Tamil Nadu,27000,Pharma & Cold-Chain
Visakhapatnam,Andhra Pradesh,19000,Pharma & Cold-Chain
Pune,Maharashtra,24000,Pharma & Cold-Chain
Indore,Madhya Pradesh,16000,Pharma & Cold-Chain
Lucknow,Uttar Pradesh,17000,Pharma & Cold-Chain
Kolkata,West Bengal,21000,Pharma & Cold-Chain
