City,State,Demand_Tonnes,Industry,Latitude,Longitude
Mandya,Karnataka,18500,Sugarcane & Agro Processing,12.5218,76.8951
Mysuru,Karnataka,9200,Sugarcane & Agro Processing,12.2958,76.6394
Belagavi,Karnataka,24000,Sugarcane & Agro Processing,15.8497,74.4977
Kolhapur,Maharashtra,22500,Sugarcane & Agro Processing,16.7050,74.2433
Bagalkot,Karnataka,14000,Sugarcane & Agro Processing,16.1853,75.6968
Mudhol,Karnataka,11500,Sugarcane & Agro Processing,16.3333,75.2833
Sangli,Maharashtra,13800,Sugarcane & Agro Processing,16.8524,74.5815
Shivamogga,Karnataka,7600,Sugarcane & Agro Processing,13.9299,75.5681
Davangere,Karnataka,8100,Sugarcane & Agro Processing,14.4644,75.9218
Vijayapura,Karnataka,9500,Sugarcane & Agro Processing,16.8302,75.7100
Koppal,Karnataka,6200,Sugarcane & Agro Processing,15.3444,76.1558
Haveri,Karnataka,5800,Sugarcane & Agro Processing,14.7954,75.3991
